publication,year,endorsed,source,source2,notes
Arizona Republic,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Arizona Republic,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Arizona Republic,2008,McCain,http://archive.azcentral.com/news/election/editorial/articles/2008/10/25/20081025sun1-26-ON.html,,
Arizona Republic,2012,Romney,http://archive.azcentral.com/arizonarepublic/opinions/articles/2012/10/18/20121018romney-republic-endorsement.html,,
Arizona Republic,2016,Clinton,http://www.azcentral.com/story/opinion/editorial/2016/09/27/hillary-clinton-endorsement/91198668/,,
Arkansas Democrat-Gazette,1980,Unknown/Carter,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Arkansas Gazette endorsed Carter (listed as ""Little Rock Arkansas Gazette"")"
Arkansas Democrat-Gazette,1984,Reagan/Mondale,"https://news.google.com/newspapers?nid=1817&dat=19841028&id=-jMdAAAAIBAJ&sjid=h6UEAAAAIBAJ&pg=6632,7208639","Associated Press. Nov 4, 1984.","Arkansas Democrat endorsed Reagan, Arkansas Gazette endorsed Mondale"
Arkansas Democrat-Gazette,1988,Bush/Dukakis,"https://news.google.com/newspapers?nid=1980&dat=19881102&id=WH8iAAAAIBAJ&sjid=G6oFAAAAIBAJ&pg=1227,1309848","Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.","Arkansas Democrat endorsed Bush, Arkansas Gazette endorsed Dukakis"
Arkansas Democrat-Gazette,1992,None,http://www.nytimes.com/1992/10/29/us/1992-campaign-campaign-trail-what-also-rans-most-act-like-good-sports.html,,"Published a ""non-endorsement"" of Clinton; text says they have a tradition of not endorsing presidential candidates but other sources seem to contradict that, they may only be referring to the joint paper"
Arkansas Democrat-Gazette,1996,None,http://www.cnn.com/ALLPOLITICS/1996/news/9611/03/1dole.clinton.wraps/,,"Published a ""non-endorsement"" of Clinton; text says they have a tradition of not endorsing presidential candidates but other sources seem to contradict that, they may only be referring to the joint paper"
Arkansas Democrat-Gazette,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Arkansas Democrat-Gazette,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Arkansas Democrat-Gazette,2008,McCain,http://www.arkansasonline.com/news/2008/nov/02/editorials-john-mccain-20081102/,,
Arkansas Democrat-Gazette,2012,Romney,http://www.arkansasonline.com/news/2012/oct/23/our-endorsements-so-far-20121023/,,
Arkansas Democrat-Gazette,2016,None,http://www.arkansasonline.com/news/2016/nov/06/the-end-is-near-20161106/,,
Asbury Park Press,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
